jd,filter,fnu,efnu,flam,eflam,mag,emag,corrmag,date,wave,Llambda,Llambda_unc,mjd,tmax_of,absmag,eabsmag,redshift
2459697.923,g,1.65E-05,-2.26E-06,2.15E-17,-2.95E-18,20.85513727,0.159893732,20.85513727,2022 4 28,4800,5.40E+37,-7.40E+36,59697.42285,22.4228472,-14.95159632,0.159893732,0.033
2459697.947,g,3.12E-05,-2.50E-06,4.06E-17,-3.25E-18,20.1653111,0.09063582,20.1653111,2022 4 28,4800,1.02E+38,-8.17E+36,59697.447,22.4470023,-15.64142249,0.09063582,0.033
2459698.834,g,2.84E-05,-2.69E-06,3.70E-17,-3.50E-18,20.26499899,0.107703928,20.26499899,2022 4 29,4800,9.31E+37,-8.79E+36,59698.33394,23.3339352,-15.5417346,0.107703928,0.033
2459698.872,r,5.09E-05,-3.46E-06,3.85E-17,-2.62E-18,19.63290053,0.076463401,19.63290053,2022 4 29,6300,9.67E+37,-6.58E+36,59698.37201,23.3720139,-16.17383306,0.076463401,0.033
2459698.873,r,5.11E-05,-3.38E-06,3.86E-17,-2.56E-18,19.62947061,0.074422508,19.62947061,2022 4 29,6300,9.70E+37,-6.43E+36,59698.37296,23.372963,-16.17726298,0.074422508,0.033
2459698.874,r,6.31E-05,-3.70E-06,4.77E-17,-2.80E-18,19.39971467,0.065647404,19.39971467,2022 4 29,6300,1.20E+38,-7.03E+36,59698.3739,23.3739005,-16.40701891,0.065647404,0.033
2459698.875,r,6.07E-05,-3.54E-06,4.59E-17,-2.68E-18,19.4413389,0.065225523,19.4413389,2022 4 29,6300,1.15E+38,-6.73E+36,59698.37486,23.3748611,-16.36539468,0.065225523,0.033
2459698.883,r,5.78E-05,-3.73E-06,4.37E-17,-2.82E-18,19.49457901,0.0724433,19.49457901,2022 4 29,6300,1.10E+38,-7.09E+36,59698.38289,23.3828935,-16.31215457,0.0724433,0.033
2459698.884,r,6.22E-05,-3.53E-06,4.70E-17,-2.66E-18,19.41515407,0.063320777,19.41515407,2022 4 29,6300,1.18E+38,-6.69E+36,59698.38432,23.3843171,-16.39157952,0.063320777,0.033
2459699.729,g,2.97E-05,-3.17E-06,3.87E-17,-4.13E-18,20.21840827,0.12273403,20.21840827,2022 4 30,4800,9.71E+37,-1.04E+37,59699.22861,24.2286111,-15.58832532,0.12273403,0.033
2459699.775,r,6.86E-05,-3.44E-06,5.19E-17,-2.60E-18,19.30886729,0.055817651,19.30886729,2022 4 30,6300,1.30E+38,-6.53E+36,59699.27523,24.2752315,-16.4978663,0.055817651,0.033
2459699.861,r,5.96E-05,-3.79E-06,4.50E-17,-2.87E-18,19.46245235,0.071382334,19.46245235,2022 4 30,6300,1.13E+38,-7.20E+36,59699.36111,24.3611111,-16.34428123,0.071382334,0.033
2459699.884,g,3.12E-05,-2.49E-06,4.06E-17,-3.24E-18,20.16508761,0.090241088,20.16508761,2022 4 30,4800,1.02E+38,-8.14E+36,59699.38414,24.3841435,-15.64164598,0.090241088,0.033
2459699.964,g,3.84E-05,-3.40E-06,5.00E-17,-4.43E-18,19.93841513,0.100660335,19.93841513,2022 4 30,4800,1.26E+38,-1.11E+37,59699.46366,24.4636574,-15.86831845,0.100660335,0.033
2459699.966,g,2.97E-05,-3.19E-06,3.87E-17,-4.15E-18,20.21798278,0.123251744,20.21798278,2022 4 30,4800,9.72E+37,-1.04E+37,59699.46606,24.4660648,-15.5887508,0.123251744,0.033
2459700.675,r,6.34E-05,-4.18E-06,4.79E-17,-3.16E-18,19.39450606,0.073951751,19.39450606,2022 5 1,6300,1.20E+38,-7.93E+36,59700.17495,25.1749537,-16.41222752,0.073951751,0.033
