jd,mjd,mag,emag,corrmag,filter,UTC,redshift
2460046.883,60046.38322,18.92116945,0.082537837,19.97142252,ZTF_r,2023-04-12T09:11:50Z,0.025
2460050.924,60050.42358,17.92810099,0.041653,19.72087107,ZTF_i,2023-04-16T10:09:57Z,0.025
2460050.924,60050.42358,17.92807412,0.04165281,19.72084915,ZTF_i,2023-04-16T10:09:57Z,0.025
2460051.866,60051.36594,18.74189984,0.071479999,19.94832429,ZTF_g,2023-04-17T08:46:56Z,0.025
2460051.866,60051.36594,18.74186174,0.071480416,19.94827986,ZTF_g,2023-04-17T08:46:56Z,0.025
2460051.947,60051.44704,17.77330055,0.051031001,19.34560113,ZTF_r,2023-04-17T10:43:43Z,0.025
2460051.947,60051.44704,17.77328929,0.051031459,19.34558011,ZTF_r,2023-04-17T10:43:43Z,0.025
2460053.912,60053.41176,17.34370068,0.049180999,18.95609309,ZTF_i,2023-04-19T09:52:56Z,0.025
2460053.912,60053.41176,17.34369112,0.049181417,18.95607432,ZTF_i,2023-04-19T09:52:56Z,0.025
2460053.933,60053.43279,17.45719926,0.037852,19.35386296,ZTF_r,2023-04-19T10:23:13Z,0.025
2460053.933,60053.43279,17.45715575,0.037852064,19.35381763,ZTF_r,2023-04-19T10:23:13Z,0.025
2460053.974,60053.47358,18.16293195,0.066131748,19.45379273,ZTF_g,2023-04-19T11:21:57Z,0.025
2460053.974,60053.47358,18.16290094,0.066132002,19.45375756,ZTF_g,2023-04-19T11:21:57Z,0.025
2460056.765,60056.26502,17.00076571,0.025434016,19.32911414,sdssr,2023-04-22T06:21:38Z,0.025
2460056.839,60056.33913,17.07824363,0.038303103,18.96204452,ZTF_r,2023-04-22T08:08:20Z,0.025
2460056.839,60056.33913,17.07819957,0.038302999,18.96200342,ZTF_r,2023-04-22T08:08:20Z,0.025
2460056.905,60056.40457,16.92374419,0.029188666,19.10259435,ZTF_i,2023-04-22T09:42:35Z,0.025
2460056.905,60056.40457,16.92370072,0.029189,19.10253847,ZTF_i,2023-04-22T09:42:35Z,0.025
2460056.952,60056.4517,17.60004829,0.049169768,19.21268869,ZTF_g,2023-04-22T10:50:27Z,0.025
2460056.952,60056.4517,17.60000066,0.049169999,19.21263596,ZTF_g,2023-04-22T10:50:27Z,0.025
2460057.765,60057.26532,16.90904009,0.022195397,19.38526857,sdssr,2023-04-23T06:22:03Z,0.025
2460058.812,60058.31234,16.85454982,0.020665423,19.40832484,sdssr,2023-04-24T07:29:46Z,0.025
2460058.834,60058.33416,17.31135071,0.024971957,19.65960505,sdssg,2023-04-24T08:01:11Z,0.025
2460058.836,60058.3358,16.80703605,0.013064919,19.85865506,sdssr,2023-04-24T08:03:32Z,0.025
2460058.837,60058.33743,16.72107728,0.020172618,19.30105739,sdssi,2023-04-24T08:05:54Z,0.025
2460058.845,60058.34539,17.27434587,0.039532475,19.12384664,ZTF_g,2023-04-24T08:17:21Z,0.025
2460058.845,60058.34539,17.27429998,0.039531998,19.12381385,ZTF_g,2023-04-24T08:17:21Z,0.025
2460058.924,60058.4237,16.87080041,0.044296999,18.59675045,ZTF_r,2023-04-24T10:10:07Z,0.025
2460058.924,60058.4237,16.87075451,0.044296686,18.59671221,ZTF_r,2023-04-24T10:10:07Z,0.025
2460060.864,60060.36363,16.69339965,0.032111999,18.7686171,ZTF_i,2023-04-26T08:43:38Z,0.025
2460060.864,60060.36363,16.69339791,0.032112442,18.76860037,ZTF_i,2023-04-26T08:43:38Z,0.025
2460060.906,60060.40551,17.06370007,0.037811,18.96154045,ZTF_g,2023-04-26T09:43:56Z,0.025
2460060.906,60060.40551,17.06368102,0.037811026,18.96152065,ZTF_g,2023-04-26T09:43:56Z,0.025
2460060.967,60060.46707,16.74274103,0.030068183,18.88935884,ZTF_r,2023-04-26T11:12:35Z,0.025
2460060.967,60060.46707,16.74270105,0.030068001,18.88932545,ZTF_r,2023-04-26T11:12:35Z,0.025
2460062.764,60062.26384,16.63863263,0.024881189,18.9908406,sdssr,2023-04-28T06:19:55Z,0.025
2460062.786,60062.28567,16.94557868,0.028530492,19.1491913,sdssg,2023-04-28T06:51:21Z,0.025
2460062.787,60062.28734,16.59989589,0.014749236,19.51985785,sdssr,2023-04-28T06:53:46Z,0.025
2460062.789,60062.28897,16.52967227,0.019917753,19.12345721,sdssi,2023-04-28T06:56:06Z,0.025
2460062.954,60062.4536,16.98420007,0.040684,18.80252676,ZTF_g,2023-04-28T10:53:10Z,0.025
2460062.954,60062.4536,16.98418452,0.040683802,18.80251648,ZTF_g,2023-04-28T10:53:10Z,0.025
2460062.977,60062.47675,16.66609954,0.038541,18.54317787,ZTF_r,2023-04-28T11:26:31Z,0.025
2460062.977,60062.47675,16.6660942,0.038540959,18.54317369,ZTF_r,2023-04-28T11:26:31Z,0.025
2460063.845,60063.34536,16.61479966,0.037427001,18.52372289,ZTF_r,2023-04-29T08:17:19Z,0.025
2460063.845,60063.34536,16.61478238,0.037427161,18.52370096,ZTF_r,2023-04-29T08:17:19Z,0.025
2460063.846,60063.34583,16.60470025,0.032166999,18.67805968,ZTF_r,2023-04-29T08:17:59Z,0.025
2460063.846,60063.34583,16.60468536,0.032167286,18.67803511,ZTF_r,2023-04-29T08:17:59Z,0.025
2460064.869,60064.36924,16.58851813,0.034474134,18.58667049,ZTF_r,2023-04-30T08:51:41Z,0.025
2460064.869,60064.36924,16.58849905,0.034474,18.58665564,ZTF_r,2023-04-30T08:51:41Z,0.025
2460064.87,60064.36971,16.59331336,0.031940583,18.67434204,ZTF_r,2023-04-30T08:52:22Z,0.025
2460064.87,60064.36971,16.59330021,0.031941,18.67431472,ZTF_r,2023-04-30T08:52:22Z,0.025
2460065.883,60065.38321,16.5461011,0.023025,18.98248777,ZTF_i,2023-05-01T09:11:48Z,0.025
2460065.883,60065.38321,16.54606061,0.02302476,18.98245861,ZTF_i,2023-05-01T09:11:48Z,0.025
2460065.938,60065.43775,16.58729981,0.028944001,18.7752892,ZTF_r,2023-05-01T10:30:21Z,0.025
2460065.938,60065.43775,16.58727658,0.02894436,18.77525249,ZTF_r,2023-05-01T10:30:21Z,0.025
2460065.949,60065.44942,16.83819962,0.034373999,18.83951027,ZTF_g,2023-05-01T10:47:10Z,0.025
2460065.949,60065.44942,16.83817343,0.034374118,18.83948032,ZTF_g,2023-05-01T10:47:10Z,0.025
2460071.9,60071.40003,16.50396975,0.033144162,18.54483794,sdssr,2023-05-07T09:36:02Z,0.025
2460071.922,60071.42191,16.76290931,0.04203546,18.54575558,sdssg,2023-05-07T10:07:32Z,0.025
2460071.924,60071.4236,16.51710537,0.020424208,19.08362811,sdssr,2023-05-07T10:09:59Z,0.025
2460071.925,60071.42523,16.46632002,0.025354247,18.79807902,sdssi,2023-05-07T10:12:19Z,0.025
2460073.784,60073.2842,16.75810054,0.035762001,18.71643181,ZTF_g,2023-05-09T06:49:15Z,0.025
2460073.784,60073.2842,16.75809096,0.035762012,18.71642188,ZTF_g,2023-05-09T06:49:15Z,0.025
2460073.915,60073.41498,16.52431321,0.031273443,18.62825975,ZTF_r,2023-05-09T09:57:34Z,0.025
2460073.915,60073.41498,16.52430014,0.031273,18.62826206,ZTF_r,2023-05-09T09:57:34Z,0.025
2460073.955,60073.4552,16.4986004,0.026249999,18.79266295,ZTF_i,2023-05-09T10:55:29Z,0.025
2460073.955,60073.4552,16.49856578,0.026250249,18.79261801,ZTF_i,2023-05-09T10:55:29Z,0.025
2460075.876,60075.37581,16.47838287,0.023032268,18.9144269,sdssr,2023-05-11T09:01:10Z,0.025
2460075.898,60075.39771,16.7286635,0.028533049,18.93217884,sdssg,2023-05-11T09:32:42Z,0.025
2460075.899,60075.39935,16.46766615,0.011971222,19.61420576,sdssr,2023-05-11T09:35:03Z,0.025
2460075.901,60075.40103,16.50416023,0.020714843,19.05534191,sdssi,2023-05-11T09:37:29Z,0.025
2460076.967,60076.4671,19.2639,0.0989,21.4105,uvot::uvw1,2023-05-12T11:12:37Z,0.025
2460076.969,60076.4691,17.5134,0.0635,20.508,uvot::u,2023-05-12T11:15:30Z,0.025
2460076.97,60076.4702,16.806,0.0562,19.7392,uvot::b,2023-05-12T11:17:05Z,0.025
2460076.973,60076.4733,20.5418,0.1376,22.0796,uvot::uvw2,2023-05-12T11:21:33Z,0.025
2460076.976,60076.4763,16.4228,0.0774,18.8804,uvot::v,2023-05-12T11:25:52Z,0.025
2460076.981,60076.4808,20.3148,0.123,22.0492,uvot::uvm2,2023-05-12T11:32:21Z,0.025
2460077.861,60077.36137,16.51440102,0.020850999,19.05846962,ZTF_i,2023-05-13T08:40:21Z,0.025
